metabolite,local_sample_id,intensity_norm,log1p_intensity_norm,median_norm_factor,subject_id,time_hr
lactate,SM-9UCZF,16581231.917788208,16.62378206665511,1.3246719006708096,,
lactate,SM-9UW5S,811192.4220794222,13.606261802909726,1.5853525809614724,,
lactate,SM-9VE4Y,1233667.1859572832,14.025502554223838,1.3780288714422084,,
lactate,SM-9VW8T,459820.3233132749,13.038593265427908,0.7571305189196912,,
lactate,SM-9VW8X,2246619.204562906,14.624937513544921,0.6088900144811777,,
lactate,SM-9VWAW,601671.3494034183,13.307468306028236,0.8457657166234829,,
lactate,SM-9VWC6,14735039.128809474,16.505738897517002,1.03412233023579,,
lactate,SM-9VWCE,1072770.3305817305,13.885755886675412,0.5336762060613145,,
lactate,SM-9VWCQ,408061.5618311267,12.919175779452646,1.5024007584760346,,
lactate,SM-9W3AD,1645461.07639831,14.313531800243862,0.5026007675673569,,
lactate,SM-9W3AZ,696705.5896764975,13.45411963938671,0.6199476599585696,,
lactate,SM-9W3B4,422046.8588896711,12.95287399627892,0.8080808867935555,,
lactate,SM-9W7VZ,776658.2560635043,13.562756995279116,1.0184878533439832,,
lactate,SM-9W7W4,1091473.7189684007,13.903040292970871,0.9908658185761691,,
lactate,SM-9W7W8,632100.7387518062,13.356805639210927,1.1863915892280819,,
lactate,SM-9WOBD,412286.40765233827,12.92947597651706,1.000809127687622,,
lactate,SM-9WOBP,6653235.600262217,15.710614001035044,0.8380484827232406,,
lactate,SM-9WOBT,510856.49935794214,13.143845964068305,0.6371848071016215,,
lactate,SM-9WYEF,405618.14112140366,12.913169922259511,0.9006747059931296,,
lactate,SM-9X47O,612883.3220833084,13.325931489253207,0.9970609053658284,,
lactate,SM-9XIOJ,1682853.692426085,14.336002131017809,0.2734046352756294,,
lactate,SM-9XIOX,1236615.2321125607,14.027889362425567,0.3995947867760223,,
lactate,SM-9XKWX,316122.30046498904,12.663887607809105,0.9971362334651576,,
lactate,SM-9Y49Z,18195240.222455565,16.716670646563795,1.1212146006636665,,
lactate,SM-9Y4AC,527382.33880188,13.175682961203751,1.001918269012228,,
lactate,SM-9Y7CW,1589892.735680776,14.279177739057824,2.2651081542667524,,
lactate,SM-9YHLB,429496.0953021496,12.970370257408373,0.9983466780957576,,
lactate,SM-9YTMA,334869.8633758018,12.721500254029447,1.0200022078925666,,
lactate,SM-9ZA1W,444424.5368027897,13.004537798649277,1.367618008610781,,
lactate,SM-9ZA5J,5682815.033773503,15.552957448432668,1.1609566668614808,,
lactate,SM-9ZA5V,513851.06449928915,13.149690690753213,0.5846499516211776,,
lactate,SM-9ZE8H,892049.5672601908,13.70127809970892,1.3486716928691564,,
lactate,SM-9ZE8P,463972.8739263883,13.04758352343001,0.7049593163325606,,
lactate,SM-9ZE8T,359199.9918859222,12.79163737678143,1.6534465852343938,,
lactate,SM-9ZEPA,493329.2079640279,13.10893402184407,0.941320709382894,,
lactate,SM-9ZGIF,320817.41382122855,12.678630553019307,1.1226042742202567,,
lactate,SM-9ZJIA,629215.9870537816,13.352231447662252,0.9873461780730293,,
lactate,SM-9ZJII,410954.9874474238,12.926241401241585,1.1857162338547855,,
lactate,SM-9ZK9F,447273.7046722704,13.010928236675586,1.0920963939919346,,
lactate,SM-A12KH,447592.21703668236,13.01164010123154,1.2042859090997642,,
lactate,SM-A12KL,688086.9599971224,13.441671957576542,0.6499178534089212,,
lactate,SM-A12L2,378910.3594432933,12.845057576613497,1.638466683550551,,
lactate,SM-A14C6,1020641.7474760136,13.83594313138705,0.7978362652847857,,
lactate,SM-A14CI,2165733.4359993287,14.588270093301228,0.3716039040735618,,
lactate,SM-A14CQ,1173910.8278045238,13.975852172464993,0.9760417681323177,,
lactate,SM-A18YS,240920.1875212716,12.392225136255885,1.5302163085335048,,
lactate,SM-A18Z1,424940.2350406915,12.959706167853817,0.8555414856519452,,
lactate,SM-A1C87,323202.80088498304,12.68603836572386,1.2644444877364556,,
lactate,SM-A1ZUY,613011.7066686323,13.326140943363598,0.9074100770814257,,
lactate,SM-A1ZVJ,378642.25300334016,12.84434975582608,0.8733098257713013,,
lactate,SM-A2BG6,336910.61872884684,12.727575915973757,0.6945640386251323,,
lactate,SM-A2HYM,548853.3946144627,13.215588466033326,0.9232939159572189,,
lactate,SM-A2HYU,419202.6119385304,12.946112028217428,1.041551239342048,,
lactate,SM-A2HYY,686086.7633305402,13.438760833409223,0.6540790815166924,,
lactate,SM-A312T,648744.0849969839,13.382795137320988,0.4564311364802296,,
lactate,SM-A373R,952239.2545381419,13.766572650146335,0.7265589994350392,,
lactate,SM-A3744,357450.6161213142,12.786755292436181,0.9797912892144448,,
lactate,SM-A375P,3550400.1371533307,15.082571151449208,1.4794997175196276,,
lactate,SM-A3J7F,416463.5763997263,12.9395566863111,1.298271999376595,,
lactate,SM-A47RS,644283.2438668266,13.375895280174333,1.06472891624944,,
lactate,SM-A47S3,522887.26344228705,13.167123074795787,1.0472372120810687,,
lactate,SM-A4O3C,290040.8338211815,12.577780446114767,1.0249556798036275,,
lactate,SM-A4UVT,460550.64069611573,13.040180268881246,1.8428136343859787,,
lactate,SM-A5A1N,689559.855312585,13.443810232382566,1.5281733585292838,,
lactate,SM-A5A1R,619162.8223566753,13.336125173124206,0.5499522705577526,,
lactate,SM-A5A1V,551616.1758184665,13.22060956259356,1.2424019273603346,,
lactate,SM-A5QMX,642684.8746884573,13.373411353038593,0.6638821245121531,,
lactate,SM-A5QN2,1804659.7826974688,14.40588320006412,0.5724818660588469,,
lactate,SM-A5QNE,551151.3619709783,13.21976656891431,0.6650042534400914,,
lactate,SM-A61QC,440093.51372673054,12.994744786751772,0.7186040923938101,,
lactate,SM-A61QG,3302639.637566002,15.010232899654635,1.0158513698674616,,
lactate,SM-A62BX,384982.5,12.860955755208671,1.25539212821362,,
lactate,SM-A72E7,768751.621265071,13.552524507872754,1.2271518835271733,,
lactate,SM-A77UE,609681.5046073024,13.320693616400224,0.8321443182482321,,
lactate,SM-A77UI,1047226.4598778563,13.861656715424498,1.2028105173611787,,
